"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FZD5",39.2832397833208,2.58609628339711,0.394316089286206,6.55843460021751,5.43755443733588e-11,1.35013319752574e-08
"TNFAIP1",138.653436677803,1.13087650035448,0.172650997747064,6.55007219831553,5.75092732192916e-11,1.39819420514403e-08
"NABP1",89.0630504043453,1.44060548646462,0.221638406018152,6.49980078969994,8.04264412024954e-11,1.91546238537372e-08
"TOP1",1018.55098280357,0.796830119798583,0.122755244213813,6.49121041550519,8.51494540701476e-11,1.98738825799724e-08
"RUNX3",102.818075634153,1.27188807575923,0.197349259568914,6.44485861531745,1.15708230033374e-10,2.6476765578225e-08
"LRRC18",34.3739338166281,2.53618468988915,0.395976533522473,6.40488633841028,1.50481442736693e-10,3.37715083987925e-08
"C3AR1",37.5809041614481,2.52392776323976,0.396378382850467,6.36747076137074,1.92170667315533e-10,4.23138054258918e-08
"TAP2",300.511529309471,0.871309583421948,0.13739358153165,6.34170514887724,2.27235904325922e-10,4.91082037682131e-08
"PHACTR4",187.877654761281,1.13877605190283,0.180950688324478,6.29329494376275,3.10796990094036e-10,6.5945470443589e-08
"MT-RNR2",26770.399464968,1.26083430312811,0.203165847797579,6.20593626732147,5.43722115459903e-10,1.13307805132448e-07
"CISH",25.5881729688555,7.51387002090562,1.22352378005657,6.14117203390864,8.19148083650953e-10,1.67709791863274e-07
"DNAJB1",300.370476266218,0.977234461280855,0.162218346311519,6.02419198260229,1.69956534767725e-09,3.41964269092991e-07
"PARP9",41.523018092464,2.07456566859961,0.345083927986887,6.01177134125597,1.83507039829903e-09,3.62970704205926e-07
"RALA",367.891645658609,0.797292519456604,0.133054520482499,5.99222421429471,2.06990270309814e-09,4.02596075752589e-07
"JUN",228.250502764128,-0.844143118276427,0.141376378745343,-5.97089220821647,2.35959608911387e-09,4.51417809179653e-07
"TNKS2",53.2102229156325,1.56784926455499,0.26641181505279,5.88505905507352,3.97911886305011e-09,7.48972856964432e-07
"AGPAT4",29.1779699989629,2.44223731167678,0.417131939950378,5.85483171575715,4.77493261134317e-09,8.84499421815473e-07
"SERPINE1",229.180015443711,-0.842805949323679,0.144482063975507,-5.83329117908057,5.43446087338893e-09,9.90939974882013e-07
"SLC25A25",54.8409457924767,1.82154171175,0.314315094514475,5.79527278053174,6.82102211758681e-09,1.22463581711135e-06
"SDCBP",185.164101460104,1.02580606265004,0.177126193004085,5.79138548202403,6.98081495662206e-09,1.23433500823908e-06
"TRIM21",28.5214630752642,2.67786947809466,0.463520044924502,5.77724632929486,7.59330784348472e-09,1.322595560201e-06
"OAS2",39.8310608959926,2.05111975966444,0.355485839543823,5.76990566571241,7.93159206218678e-09,1.34740217305988e-06
"SP140L",93.1575737277724,1.27127145460095,0.220356326036293,5.76916250814407,7.96664523917152e-09,1.34740217305988e-06
"IFITM3",510.616762007806,0.660065939683661,0.11461164327542,5.75915256792433,8.45372679735097e-09,1.40935702464408e-06
"NLRC5",38.4094064581241,2.0084407520574,0.349861892646398,5.74066737267471,9.43041624151315e-09,1.55004165547125e-06
"WNT7B",41.6295627468925,-1.57193578985453,0.275309243589657,-5.70970945021182,1.13169206069243e-08,1.83428421503897e-06
"OAS3",84.04084119032,1.26410273387529,0.222613392312282,5.67846669396244,1.35907488829626e-08,2.17265807485169e-06
"LDLR",265.327742078972,0.827783449438391,0.146084894824515,5.66645477229366,1.45782287938965e-08,2.29902608141584e-06
"COL27A1",235.001606467378,1.41110937975026,0.249138548177913,5.66395441440308,1.47923719873955e-08,2.30169308123875e-06
"ASPHD2",26.1084869240456,2.77144945643074,0.489515045213207,5.66162262739779,1.49948293956983e-08,2.30249551378683e-06
"TRIM69",40.0407816109837,1.92703592995165,0.34337987840186,5.61196520576672,2.00041667093884e-08,3.03180033115017e-06
"SEMA7A",78.2277641134966,-1.33143949146687,0.242636833862311,-5.48737580470743,4.07948641242399e-08,6.1035392862805e-06
"AGPAT9",132.956636871782,-1.04591057497577,0.19176649438487,-5.45408403241006,4.92259207329528e-08,7.27172778422227e-06
"SEPHS2",147.452910206016,0.977410497932884,0.179466508441947,5.44619999808517,5.1457276336855e-08,7.50633018563873e-06
"C17orf51",32.9068894338619,2.04457614860361,0.37758900009793,5.4148191501165,6.13506829153932e-08,8.8390428348474e-06
"BATF3",53.0862360753827,1.58921637283947,0.293686998850594,5.41125885401534,6.25832292860841e-08,8.90666202156831e-06
"CSF1",58.9319271503156,1.35332631138024,0.250484774829019,5.40282862423084,6.55981268303122e-08,9.22325470011739e-06
"IFIT2",50.0268343925342,1.98551379655792,0.36780314203433,5.39830569574795,6.72731718910693e-08,9.23621077610328e-06
