"","baseMean","log2FoldChange","pvalue","padj"
COL4A5,702.710475900729,-1.30639403749252,1.66126253584234e-20,6.72811327016148e-18
KRT8,7573.177131333,0.880617001581776,3.77833762077161e-20,1.486505972515e-17
C8orf4,931.0123964124,-1.32945864450288,4.30096208028093e-20,1.64511799570746e-17
GPI,7445.25293970348,0.776710820028794,1.10396462799398e-19,4.10853862904785e-17
SLC3A2,1632.02303974488,0.94007932058174,2.44286469035324e-18,8.85217020688529e-16
S100P,2259.8221390726,0.968500758266158,3.67081213499062e-18,1.28127565101616e-15
OGT,3559.26142312737,-0.877760338699408,3.7219336267717e-18,1.28127565101616e-15
CP,36824.4757333311,-0.692918424376841,7.52694731080977e-18,2.52795279194757e-15
G6PD,850.404168509737,1.08315715613499,8.84244107976258e-18,2.89905746829359e-15
PROM1,6331.3173137655,-0.751344517351198,1.08002788924569e-17,3.4586009383519e-15
TOP2A,795.282973342808,-1.28754604994997,1.32614679043497e-17,4.1502366600658e-15
E2F7,1183.71647164629,-1.00112517836929,1.49401822892574e-17,4.57169578051275e-15
PPL,6391.04782067608,0.745776977608958,5.22526089652022e-17,1.56417049011051e-14
GPX2,261.175492353826,1.62120064173001,5.87603783488367e-17,1.72155406353932e-14
LAMB1,1446.40963813699,-0.966485543112879,1.05161776359891e-16,2.95526053158305e-14
MUC5B,2411.03320325341,-1.0852199941933,1.1347045886451e-16,3.1249764371286e-14
CCNL1,1897.74777789881,-1.06179571416021,1.63839438471614e-16,4.42366483873358e-14
KRT7,15139.7650986538,0.767359874234045,1.82718572349559e-16,4.83852834856427e-14
ACCS,224.50341805852,-1.68001241166435,3.00453556469645e-16,7.80612353318303e-14
DHRSX,215.827568810534,-1.75154972070574,3.41602417992384e-16,8.58638458936735e-14
PLOD2,7999.64469611955,-0.694584588939888,3.42956537701673e-16,8.58638458936735e-14
SLC16A3,2014.16902655929,0.85723180503213,5.28452491709631e-16,1.29942693050743e-13
HSPB1,2727.28949378583,0.863357501849968,6.1559871691373e-16,1.48715690033369e-13
TRIM29,5026.22894051233,0.730326335226904,9.78747366456468e-16,2.32368124760441e-13
PTHLH,9821.47870343463,-0.704716764482741,3.08110326938777e-15,7.19098169821519e-13
TF,3772.58180152053,-0.858494690501917,3.17720290901957e-15,7.29168067619991e-13
UPK1B,1575.48860088434,0.931288799281463,3.34693056202475e-15,7.55528423591489e-13
SERPINB2,969.137383272336,0.990621364950509,3.69379476497594e-15,8.20379901834172e-13
GOLGA8A,309.727176940746,-1.53417141961053,4.29467419540137e-15,9.38693074137728e-13
CPXM2,124.061772682136,-2.25914955172568,4.68268171407068e-15,1.00750823754302e-12
ST14,6491.10888226429,0.725496119267226,6.67907919816069e-15,1.4149372393642e-12
LAD1,857.690800573686,0.995993086673379,7.70990088566585e-15,1.6085656847821e-12
SPAG17,479.07172084144,-1.27773748457128,1.15207968625047e-14,2.36778168353269e-12
GDF15,655.689317712549,1.12213143361036,1.31574539341711e-14,2.66438442166965e-12
NBEA,1110.8106817584,-0.983531045450106,1.53937546852916e-14,3.05784178682811e-12
SLC6A6,5839.0152388847,-0.735750698905571,1.5544584246766e-14,3.05784178682811e-12
TMEM45A,3920.95153766132,-0.859682148549307,1.74128849413683e-14,3.37711867102311e-12
KRT5,11315.1264159334,0.666924751401068,1.82937067768845e-14,3.49867142107916e-12
RBM6,1932.10443241543,-0.77626871374887,1.96478387759362e-14,3.7061745197896e-12
ANLN,1868.20940909021,-0.967008726748431,2.12786031224366e-14,3.95954547291827e-12
TPP2,2090.04038088691,-0.768965781923025,2.71080229254752e-14,4.97703300911725e-12
TIA1,1485.33151606152,-0.896076864118901,3.94008497521091e-14,7.13881185640188e-12
SNHG14,1160.62545437957,0.885585899225089,4.09645181473188e-14,7.32573266089064e-12
CD46,5065.17737438327,-0.658789732904269,4.94073256396999e-14,8.7222932571624e-12
CLIC4,2192.67228246498,-0.783077486206152,5.42246567145789e-14,9.451563581769e-12
KRT16,325.17343875964,1.52701193588351,5.54095007405195e-14,9.53736031496192e-12
FUT6,730.023228393252,0.961636662764092,5.97005526701452e-14,1.01490939539247e-11
IMPA2,1476.6203417708,0.800735952994304,6.66621857878737e-14,1.11943694914515e-11
ATHL1,286.995489893744,-1.4275992540376,6.95458595016465e-14,1.15379094618997e-11
EFHC2,403.226421327386,-1.20696067824255,7.1736604424156e-14,1.17596790823884e-11
MISP,1127.66736248388,0.848913757332721,8.72687269021202e-14,1.41375337581435e-11
AQP3,6737.41900334609,0.786115717553454,8.99582118639001e-14,1.44037741554175e-11
SOD2,8186.69349234462,-0.670725703733462,9.92948608423601e-14,1.57159796988425e-11
CPA4,696.528912435503,0.963181776605755,1.02949216216668e-13,1.61092125829946e-11
,184.445292489137,-1.67515338162898,1.32859638912501e-13,2.05559239081476e-11
NREP,340.921711430341,-1.2560929457981,2.24524166050018e-13,3.43521974056528e-11
VEGFA,2526.33558024706,-0.698656084181941,2.45656171681316e-13,3.71723679566124e-11
FMO2,430.133807111971,-1.14998004423906,2.59563049183373e-13,3.88498172527723e-11
CXCL8,3723.89582610065,-0.91084211440808,3.19095548098343e-13,4.6809743847834e-11
LTF,2043.30535767564,-0.898107685931456,3.19543639919855e-13,4.6809743847834e-11
ATG16L2,219.01318182273,-1.53882909038151,5.16655456693515e-13,7.48878488281022e-11
PORCN,1171.65231048931,0.812947913337698,6.57394562974618e-13,9.42950326266717e-11
IFNGR2,2755.46995380607,-0.686491951029696,6.90465541038085e-13,9.80176340215921e-11
CTSD,14894.378223726,0.676504391826914,7.07401227382382e-13,9.93970908270959e-11
AGR2,28030.6266310902,0.804255884285033,8.04049629415253e-13,1.11835993909576e-10
PKM,66631.4000274977,0.610323863454101,8.51266270223653e-13,1.17219365409797e-10
DNAH5,2344.01588172559,-0.876837970733525,8.91101688999612e-13,1.21489804529947e-10
DHRS9,6637.83608073983,0.707897318577341,9.24699352991104e-13,1.24834412653799e-10
DMD,898.778591955585,-0.971443181593456,9.49265657104954e-13,1.26906680566361e-10
HN1,3207.00679428038,0.697581378307676,1.14377706231386e-12,1.51440482192903e-10
RRBP1,2485.3971662869,0.732222193290154,1.15888332189933e-12,1.51979269929084e-10
CREBZF,1685.45234757987,-0.770207162489574,1.37511675042572e-12,1.78635449560021e-10
WSB1,4166.53568320789,-0.724314877851937,1.61592709579309e-12,2.0795622531842e-10
UFD1L,1280.87810608815,0.771303616521876,1.65815060257632e-12,2.11414201828481e-10
MYB,1356.02579254866,-0.879659325581632,1.8925951916698e-12,2.39092071461405e-10
TLR2,1230.83879793885,-0.77862351695724,2.35641738133562e-12,2.94980612190832e-10
KRT14,562.691967954635,1.2556183282792,2.73582892796486e-12,3.39390669712398e-10
RBMX,2547.46163122905,-0.667500928581759,3.34881356652404e-12,4.11724667955679e-10
TKT,2787.15411511833,0.70552629565359,3.41659114945435e-12,4.16340355114924e-10
PNISR,2324.88185564224,-0.701479489156436,3.58742113622346e-12,4.3004583961238e-10
ANPEP,933.312865301081,-0.908715781751484,3.59152298877441e-12,4.3004583961238e-10
CILP,1928.50256524979,-0.800521048671184,3.78760783118548e-12,4.49615170995035e-10
SORCS2,656.916761260553,-0.967649459602053,4.21849857358659e-12,4.96484832122113e-10
TBCK,518.234044051212,-1.05309147791106,4.60737312959167e-12,5.3765701690235e-10
FANCI,547.067142652038,-1.05353938388037,6.80626751047229e-12,7.87582383354651e-10
USP13,538.233757907756,-1.00373001432647,7.47169745238188e-12,8.57377282660821e-10
PKP3,1854.49123274434,0.697584469116825,7.75747556107801e-12,8.82813541124333e-10
TMEM67,884.20612271009,-0.923130536775877,1.01355319090003e-11,1.1439858556306e-09
CEP78,1369.41244194696,-0.774469184161382,1.05766767182858e-11,1.18407185699833e-09
FTL,16206.2780473863,0.553651046369023,1.16458547522249e-11,1.29325338659788e-09
PHLDA3,671.84356567121,0.906468144473933,1.45635100527211e-11,1.60431626740776e-09
MAP7D1,967.514811731337,0.889738802627896,1.57645524683846e-11,1.71741753666596e-09
C1orf116,8391.74230284486,0.564845229664565,1.58396533882772e-11,1.71741753666596e-09
PSCA,1955.92932962255,0.721862874281203,1.66696464056516e-11,1.79328930473298e-09
PLXNB2,14920.8515415125,0.556930442058566,1.69162705382303e-11,1.80571352954598e-09
DDRGK1,466.022374220383,1.03897921979691,1.71561034450693e-11,1.81722726491234e-09
CEP120,1582.47764322015,-0.719605905500481,1.75891426278695e-11,1.84887399989132e-09
MUC1,8063.88814462526,0.71991112205368,2.12709108687153e-11,2.21894274744099e-09
KDR,8450.76942108674,-0.61426731234159,2.15567575294661e-11,2.2318537682763e-09
ORMDL1,818.0303722656,-0.846081587418592,2.60689702367413e-11,2.67887850865618e-09
ALDH1A3,15697.5560599402,0.561022959460891,2.74746167406701e-11,2.80241090754835e-09
EFHC1,2374.27288228271,-0.748839314989436,3.27447312382508e-11,3.31278939516802e-09
WDR78,1502.47686476653,-0.785395415344697,3.30482055941131e-11,3.31278939516802e-09
C10orf54,1231.12498091063,0.76218125535148,3.32000680125771e-11,3.31278939516802e-09
